Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Pastrengo;896.320;Pastrengo;899.370;386,33;1.31;385,02;3.050;1997;2.328
Pescantina;4.946.780;Pescantina;5.187.057;460,87;21.35;439,52;240.277;1997;11.255
Peschiera del Garda;6.127.920;Peschiera del Garda;6.414.994;722,9;32.35;690,55;287.074;1997;8.874
Povegliano Veronese;2.088.070;Povegliano Veronese;2.434.168;394,96;56.16;338,81;346.098;1997;6.163
Pressana;830.830;Pressana;866.858;350,39;14.56;335,82;36.028;1997;2.474
Rivoli Veronese;607.000;Rivoli Veronese;615.680;317,52;4.48;313,05;8.680;1997;1.939
Ronca';876.500;Roncà;876.500;260,17;0.00;260,17;0;1997;3.369
Ronco all'Adige;2.144.610;Ronco all'Adige;2.283.794;409,43;24.95;384,48;139.184;1997;5.578
Roverchiara;837.530;Roverchiara;840.629;320,36;1.18;319,18;3.099;1997;2.624
Roveredo di Gua';357.000;Roveredo di Guà;379.300;287,57;16.91;270,66;22.300;1997;1.319
Rovere' Veronese;692.380;Roverè Veronese;727.280;352,71;16.93;335,78;34.900;1997;2.062
Salizzole;1.167.570;Salizzole;1.388.480;370,95;59.02;311,93;220.910;1997;3.743
San Bonifacio;5.914.570;San Bonifacio;7.211.135;440,54;79.21;361,33;1.296.565;1997;16.369
San Giovanni Ilarione;994.190;San Giovanni Ilarione;1.129.290;238,8;28.57;210,23;135.100;1997;4.729
San Giovanni Lupatoto;8.349.000;San Giovanni Lupatoto;9.235.081;440,16;42.23;397,93;886.081;1997;20.981
Sanguinetto;1.403.260;Sanguinetto;1.666.614;404,91;63.98;340,93;263.354;1997;4.116
San Martino Buon Albergo;4.940.000;San Martino Buon Albergo;5.190.291;394,94;19.05;375,89;250.291;1997;13.142
San Mauro di Saline;162.940;San Mauro di Saline;171.940;314,33;16.45;297,88;9.000;1997;547.000
San Pietro di Morubio;958.700;San Pietro di Morubio;996.766;348,76;13.32;335,44;38.066;1997;2.858
San Pietro in Cariano;4.221.380;San Pietro in Cariano;4.866.182;398,41;52.79;345,62;644.802;1997;12.214
Sant'Ambrogio di Valpolicella;2.894.000;Sant'Ambrogio di Valpolicella;4.079.000;446,67;129.76;316,91;1.185.000;1997;9.132
Sant'Anna d'Alfaedo;743.150;Sant'Anna d'Alfaedo;803.188;331,21;24.76;306,45;60.038;1997;2.425
San Zeno di Montagna;649.520;San Zeno di Montagna;675.500;571,97;22.00;549,97;25.980;1997;1.181
Selva di Progno;329.190;Selva di Progno;363.500;363,5;34.31;329,19;34.310;1997;1.000
Soave;2.232.030;Soave;2.436.805;386,18;32.45;353,73;204.775;1997;6.310
Sommacampagna;3.571.180;Sommacampagna;4.406.672;370,5;70.24;300,25;835.492;1997;11.894
Sona;5.303.170;Sona;6.102.095;444,86;58.24;386,61;798.925;1997;13.717
Sorga';1.057.700;Sorgà;1.144.237;381,29;28.84;352,45;86.537;1997;3.001
Terrazzo;616.565;Terrazzo;652.445;267,29;14.70;252,59;35.880;1997;2.441
Torri del Benaco;2.056.900;Torri del Benaco;2.113.806;793,77;21.37;772,4;56.906;1997;2.663
Tregnago;1.815.440;Tregnago;1.991.740;420,38;37.21;383,17;176.300;1997;4.738
Trevenzuolo;825.420;Trevenzuolo;864.749;368,76;16.77;351,99;39.329;1997;2.345
Valeggio sul Mincio;4.789.900;Valeggio sul Mincio;4.998.400;495,92;20.69;475,24;208.500;1997;10.079
Velo Veronese;221.900;Velo Veronese;230.100;290,53;10.35;280,18;8.200;1997;792.000
Verona;102.257.610;Verona;119.588.691;469,44;68.03;401,41;17.331.081;1997;254.748
Veronella;1.251.850;Veronella;1.354.510;384,26;29.12;355,13;102.660;1997;3.525
Vestenanova;704.050;Vestenanova;735.410;281,55;12.01;269,54;31.360;1997;2.612
Vigasio;2.121.360;Vigasio;2.350.612;366,6;35.75;330,84;229.252;1997;6.412
Villa Bartolomea;1.927.300;Villa Bartolomea;2.095.152;388,49;31.12;357,37;167.852;1997;5.393
Villafranca di Verona;11.635.760;Villafranca di Verona;12.604.446;448,86;34.50;414,36;968.686;1997;28.081
Zevio;4.848.500;Zevio;5.392.500;481,3;48.55;432,75;544.000;1997;11.204
Zimella;1.131.000;Zimella;1.142.292;272,1;2.69;269,41;11.292;1997;4.198
Agugliaro;365.220;Agugliaro;371.371;294,97;4.89;290,09;6.151;1997;1.259
Albettone;507.960;Albettone;536.462;271,35;14.42;256,93;28.502;1997;1.977
Alonte;388.130;Alonte;397.581;371,22;8.82;362,4;9.451;1997;1.071
Altavilla Vicentina;2.472.000;Altavilla Vicentina;2.781.210;310,02;34.47;275,55;309.210;1997;8.971
Altissimo;385.080;Altissimo;420.538;201,5;16.99;184,51;35.458;1997;2.087
Arcugnano;2.650.450;Arcugnano;2.873.000;426,7;33.05;393,65;222.550;1997;6.733
Arsiero;912.020;Arsiero;1.066.400;327,02;47.34;279,67;154.380;1997;3.261
Arzignano;7.151.820;Arzignano;9.120.408;409,02;88.29;320,74;1.968.588;1997;22.298
Asiago;4.009.800;Asiago;4.132.900;617,96;18.41;599,55;123.100;1997;6.688
Asigliano Veneto;210.400;Asigliano Veneto;220.821;268,64;12.68;255,96;10.421;1997;822.000
Barbarano Vicentino;1.113.940;Barbarano Vicentino;1.250.670;350,52;38.32;312,2;136.730;1997;3.568
Bassano del Grappa;15.925.590;Bassano del Grappa;19.337.877;488,02;86.11;401,91;3.412.287;1997;39.625
Bolzano Vicentino;1.275.000;Bolzano Vicentino;1.332.980;271,93;11.83;260,1;57.980;1997;4.902
Breganze;1.943.230;Breganze;3.318.280;438,23;181.60;256,63;1.375.050;1997;7.572
Brendola;2.092.500;Brendola;2.433.420;414,41;58.06;356,35;340.920;1997;5.872
Bressanvido;958.020;Bressanvido;999.995;368,32;15.46;352,86;41.975;1997;2.715
Brogliano;575.780;Brogliano;635.884;236,74;22.38;214,36;60.104;1997;2.686
Caldogno;3.210.950;Caldogno;3.536.000;360,08;33.10;326,98;325.050;1997;9.820
Caltrano;508.080;Caltrano;755.580;308,78;101.14;207,63;247.500;1997;2.447
Calvene;236.340;Calvene;289.760;230,15;42.43;187,72;53.420;1997;1.259
Camisano Vicentino;3.106.990;Camisano Vicentino;3.378.825;427,65;34.41;393,24;271.835;1997;7.901
Campiglia dei Berici;457.790;Campiglia dei Berici;501.713;286,04;25.04;261;43.923;1997;1.754
Campolongo sul Brenta;293.189;Campolongo sul Brenta;304.891;373,64;14.34;359,3;11.702;1997;816.000
Carre';691.090;Carrè;874.480;287;60.19;226,81;183.390;1997;3.047
Cartigliano;1.175.530;Cartigliano;1.291.881;375,33;33.80;341,53;116.351;1997;3.442
Cassola;4.541.120;Cassola;4.614.172;391;6.19;384,81;73.052;1997;11.801
Castegnero;624.020;Castegnero;740.430;332,18;52.23;279,96;116.410;1997;2.229
Castelgomberto;1.235.680;Castelgomberto;1.274.900;246,69;7.59;239,1;39.220;1997;5.168
Chiampo;3.537.180;Chiampo;3.815.723;321,68;23.48;298,19;278.543;1997;11.862
Chiuppano;546.000;Chiuppano;690.440;279,87;58.55;221,32;144.440;1997;2.467
Cismon del Grappa;391.017;Cismon del Grappa;415.697;391,8;23.26;368,54;24.680;1997;1.061
Cogollo del Cengio;771.550;Cogollo del Cengio;1.015.400;312,91;75.15;237,77;243.850;1997;3.245
Conco;916.600;Conco;962.690;425,78;20.38;405,4;46.090;1997;2.261
Cornedo Vicentino;2.695.260;Cornedo Vicentino;3.122.872;310,92;42.57;268,35;427.612;1997;10.044
Costabissara;1.713.560;Costabissara;1.933.082;354,76;40.29;314,47;219.522;1997;5.449
Creazzo;3.632.570;Creazzo;4.153.782;409,8;51.42;358,38;521.212;1997;10.136
Crespadoro;338.040;Crespadoro;359.347;259,64;15.40;244,25;21.307;1997;1.384
Dueville;4.186.560;Dueville;4.549.880;361,07;28.83;332,24;363.320;1997;12.601
Enego;886.400;Enego;926.970;441,41;19.32;422,1;40.570;1997;2.100
Fara Vicentino;960.570;Fara Vicentino;1.030.620;274,32;18.65;255,67;70.050;1997;3.757
Foza;227.100;Foza;240.320;307,31;16.91;290,41;13.220;1997;782.000
Gallio;1.437.800;Gallio;1.476.060;634,32;16.44;617,88;38.260;1997;2.327
Gambellara;843.040;Gambellara;1.235.128;388,41;123.30;265,11;392.088;1997;3.180
Gambugliano;139.760;Gambugliano;156.060;202,94;21.20;181,74;16.300;1997;769.000
Grancona;437.340;Grancona;571.170;341,4;79.99;261,41;133.830;1997;1.673
Grisignano di Zocco;2.135.000;Grisignano di Zocco;2.202.200;530,52;16.19;514,33;67.200;1997;4.151
