Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Paese;5.324.630;Paese;7.951.882;446,99;147.68;299,3;2.627.252;1999;17.790
Pederobba;1.495.500;Pederobba;2.610.391;371,8;158.79;213;1.114.891;1999;7.021
Pieve di Soligo;2.115.900;Pieve di Soligo;3.855.856;377,51;170.35;207,16;1.739.956;1999;10.214
Ponte di Piave;1.241.040;Ponte di Piave;2.345.210;346,82;163.29;183,53;1.104.170;1999;6.762
Ponzano Veneto;3.299.460;Ponzano Veneto;3.751.582;399,06;48.09;350,97;452.122;1999;9.401
Portobuffole';191.760;Portobuffolè;330.264;473,16;198.43;274,73;138.504;1999;698.000
Possagno;398.110;Possagno;740.038;373,95;172.78;201,17;341.928;1999;1.979
Povegliano;955.870;Povegliano;1.081.881;276,7;32.23;244,47;126.011;1999;3.910
Preganziol;1.884.860;Preganziol;5.677.021;395,25;264.02;131,23;3.792.161;1999;14.363
Quinto di Treviso;3.159.490;Quinto di Treviso;4.509.037;485,1;145.19;339,91;1.349.547;1999;9.295
Refrontolo;213.680;Refrontolo;363.040;198,27;81.57;116,7;149.360;1999;1.831
Resana;1.490.060;Resana;2.494.740;346,68;139.62;207,07;1.004.680;1999;7.196
Revine Lago;296.435;Revine Lago;451.705;218,32;75.05;143,27;155.270;1999;2.069
Riese Pio X;2.339.410;Riese Pio X;3.798.729;405,07;155.61;249,46;1.459.319;1999;9.378
Roncade;4.343.780;Roncade;4.982.416;420,67;53.92;366,75;638.636;1999;11.844
Salgareda;1.030.740;Salgareda;1.702.440;319,77;126.16;193,6;671.700;1999;5.324
San Biagio di Callalta;1.622.020;San Biagio di Callalta;3.478.429;307,28;163.99;143,29;1.856.409;1999;11.320
San Fior;984.780;San Fior;1.507.205;248,67;86.19;162,48;522.425;1999;6.061
San Pietro di Feletto;858.440;San Pietro di Feletto;1.337.075;284,36;101.79;182,57;478.635;1999;4.702
San Polo di Piave;549.780;San Polo di Piave;1.026.635;229,88;106.77;123,1;476.855;1999;4.466
Santa Lucia di Piave;1.048.380;Santa Lucia di Piave;2.084.808;296,18;147.24;148,94;1.036.428;1999;7.039
San Vendemiano;1.547.430;San Vendemiano;2.489.975;291,63;110.39;181,24;942.545;1999;8.538
San Zenone degli Ezzelini;1.224.440;San Zenone degli Ezzelini;2.160.319;340,48;147.50;192,98;935.879;1999;6.345
Sarmede;398.585;Sarmede;631.231;215,73;79.51;136,22;232.646;1999;2.926
Segusino;353.010;Segusino;497.400;248,82;72.23;176,59;144.390;1999;1.999
Sernaglia della Battaglia;528.660;Sernaglia della Battaglia;1.040.990;181,58;89.37;92,21;512.330;1999;5.733
Silea;3.514.990;Silea;4.106.639;454,02;65.41;388,61;591.649;1999;9.045
Spresiano;3.453.720;Spresiano;3.920.135;408,65;48.62;360,03;466.415;1999;9.593
Susegana;4.519.720;Susegana;5.382.353;516,29;82.75;433,55;862.633;1999;10.425
Tarzo;405.590;Tarzo;884.598;197,76;107.09;90,68;479.008;1999;4.473
Trevignano;2.035.840;Trevignano;3.252.541;365,5;136.72;228,77;1.216.701;1999;8.899
Treviso;34.409.700;Treviso;41.162.458;503,39;82.58;420,81;6.752.758;1999;81.771
Valdobbiadene;2.283.520;Valdobbiadene;4.061.903;380,79;166.72;214,07;1.778.383;1999;10.667
Vazzola;755.450;Vazzola;1.449.510;232,74;111.44;121,3;694.060;1999;6.228
Vedelago;2.069.820;Vedelago;4.243.831;310,54;159.08;151,46;2.174.011;1999;13.666
Vidor;655.220;Vidor;846.469;261,5;59.08;202,42;191.249;1999;3.237
Villorba;6.067.280;Villorba;8.799.599;529,08;164.28;364,8;2.732.319;1999;16.632
Vittorio Veneto;4.759.670;Vittorio Veneto;10.489.902;362,38;197.96;164,43;5.730.232;1999;28.947
Volpago del Montello;3.263.280;Volpago del Montello;3.784.008;417,61;57.47;360,15;520.728;1999;9.061
Zenson di Piave;576.060;Zenson di Piave;613.648;371,91;22.78;349,13;37.588;1999;1.650
Zero Branco;1.668.020;Zero Branco;2.082.536;254,18;50.59;203,59;414.516;1999;8.193
Annone Veneto;1.360.603;Annone Veneto;1.661.153;481,49;87.12;394,38;300.550;1999;3.450
Campagna Lupia;1.081.050;Campagna Lupia;1.896.742;303,43;130.49;172,94;815.692;1999;6.251
Campolongo Maggiore;1.394.850;Campolongo Maggiore;2.636.123;291,28;137.16;154,13;1.241.273;1999;9.050
Camponogara;1.626.060;Camponogara;3.404.953;316,56;165.39;151,18;1.778.893;1999;10.756
Caorle;12.076.020;Caorle;14.091.780;1.234,39;176.57;1.057,82;2.015.760;1999;11.416
Cavarzere;7.239.140;Cavarzere;7.894.959;499,9;41.53;458,38;655.819;1999;15.793
Ceggia;506.210;Ceggia;1.046.638;207,58;107.19;100,4;540.428;1999;5.042
Chioggia;36.975.120;Chioggia;41.261.455;792,89;82.37;710,53;4.286.335;1999;52.039
Cinto Caomaggiore;1.251.434;Cinto Caomaggiore;1.443.523;458,84;61.06;397,79;192.089;1999;3.146
Cona;1.456.940;Cona;1.491.482;457,37;10.59;446,78;34.542;1999;3.261
Concordia Sagittaria;4.232.167;Concordia Sagittaria;4.933.277;467,12;66.39;400,74;701.110;1999;10.561
Dolo;3.841.390;Dolo;7.087.489;487,98;223.50;264,49;3.246.099;1999;14.524
Eraclea;6.652.240;Eraclea;7.614.072;607,76;76.77;530,99;961.832;1999;12.528
Fiesso d'Artico;1.132.645;Fiesso d'Artico;2.139.549;372,16;175.14;197,02;1.006.904;1999;5.749
Fossalta di Piave;1.488.580;Fossalta di Piave;1.644.506;418,13;39.65;378,48;155.926;1999;3.933
Fossalta di Portogruaro;2.270.441;Fossalta di Portogruaro;2.616.815;448,01;59.30;388,71;346.374;1999;5.841
Fosso';817.509;Fossò;2.146.386;367,91;227.78;140,13;1.328.877;1999;5.834
Gruaro;1.035.341;Gruaro;1.197.625;450,07;60.99;389,08;162.284;1999;2.661
Iesolo;29.598.601;Jesolo;31.390.981;1.374,45;78.48;1.295,97;1.792.380;1999;22.839
Marcon;4.204.070;Marcon;5.865.920;485,39;137.51;347,88;1.661.850;1999;12.085
Martellago;3.842.340;Martellago;7.750.289;403,62;203.52;200,1;3.907.949;1999;19.202
Meolo;1.385.590;Meolo;1.976.860;336,72;100.71;236,01;591.270;1999;5.871
Mira;10.382.740;Mira;17.380.373;481,33;193.79;287,54;6.997.633;1999;36.109
Mirano;8.068.120;Mirano;12.326.609;470;162.37;307,63;4.258.489;1999;26.227
Musile di Piave;1.603.330;Musile di Piave;3.465.261;343,78;184.72;159,06;1.861.931;1999;10.080
Noale;4.027.970;Noale;6.315.825;436,6;158.15;278,44;2.287.855;1999;14.466
Noventa di Piave;2.477.000;Noventa di Piave;2.676.155;457,85;34.07;423,78;199.155;1999;5.845
Pianiga;2.333.120;Pianiga;3.744.592;418,76;157.85;260,92;1.411.472;1999;8.942
Portogruaro;9.644.959;Portogruaro;11.171.964;458,02;62.60;395,41;1.527.005;1999;24.392
Pramaggiore;1.492.083;Pramaggiore;1.725.260;451,4;61.01;390,39;233.177;1999;3.822
Quarto d'Altino;3.108.440;Quarto d'Altino;4.420.990;615,31;182.68;432,63;1.312.550;1999;7.185
Salzano;2.935.430;Salzano;4.370.341;379,86;124.72;255,14;1.434.911;1999;11.505
San Dona' di Piave;15.084.730;San Donà di Piave;18.359.751;515,3;91.92;423,38;3.275.021;1999;35.629
San Michele al Tagliamento;14.862.660;San Michele al Tagliamento;17.455.019;1.479,49;219.73;1.259,76;2.592.359;1999;11.798
Santa Maria di Sala;4.792.730;Santa Maria di Sala;6.606.394;502,65;137.99;364,66;1.813.664;1999;13.143
Santo Stino di Livenza;4.535.652;Santo Stino di Livenza;5.260.211;452,84;62.38;390,47;724.559;1999;11.616
Scorze';4.238.465;Scorzè;7.484.377;444,15;192.62;251,53;3.245.912;1999;16.851
Spinea;6.301.790;Spinea;11.791.148;474,8;221.04;253,76;5.489.358;1999;24.834
Stra;2.973.570;Stra;3.492.260;507,08;75.31;431,77;518.690;1999;6.887
Teglio Veneto;806.042;Teglio Veneto;910.528;453,22;52.01;401,22;104.486;1999;2.009
Torre di Mosto;1.413.560;Torre di Mosto;1.529.500;360,9;27.36;333,54;115.940;1999;4.238
Venezia;160.036.300;Venezia;200.094.110;721,57;144.45;577,11;40.057.810;1999;277.305
Vigonovo;1.068.820;Vigonovo;2.279.528;286,16;151.98;134,17;1.210.708;1999;7.966
Abano Terme;10.251.580;Abano Terme;13.463.740;724,75;172.91;551,84;3.212.160;1999;18.577
Agna;863.050;Agna;1.203.202;383,8;108.50;275,3;340.152;1999;3.135
Albignasego;5.495.770;Albignasego;8.523.060;449,65;159.71;289,94;3.027.290;1999;18.955
Anguillara Veneta;513.760;Anguillara Veneta;1.295.307;266,58;160.85;105,73;781.547;1999;4.859
Arqua' Petrarca;695.380;Arquà Petrarca;758.780;408,39;34.12;374,26;63.400;1999;1.858
Arre;438.250;Arre;634.408;313,44;96.92;216,53;196.158;1999;2.024
Arzergrande;1.532.730;Arzergrande;1.721.370;414,19;45.39;368,8;188.640;1999;4.156
Bagnoli di Sopra;402.510;Bagnoli di Sopra;1.121.241;283,93;182.00;101,93;718.731;1999;3.949
Baone;1.008.000;Baone;1.187.600;379,91;57.45;322,46;179.600;1999;3.126
Barbona;172.630;Barbona;172.630;222,18;0.00;222,18;0;1999;777.000
Battaglia Terme;622.920;Battaglia Terme;1.461.148;342,67;196.58;146,09;838.228;1999;4.264
Boara Pisani;620.950;Boara Pisani;769.330;306,87;59.19;247,69;148.380;1999;2.507
Borgoricco;1.112.445;Borgoricco;2.111.525;319,98;151.40;168,58;999.080;1999;6.599
Bovolenta;579.030;Bovolenta;859.695;270,94;88.45;182,49;280.665;1999;3.173
Brugine;2.265.050;Brugine;2.513.153;411,79;40.65;371,14;248.103;1999;6.103
Cadoneghe;6.263.990;Cadoneghe;6.934.326;473,66;45.79;427,87;670.336;1999;14.640
Campodarsego;1.846.681;Campodarsego;4.204.784;374,49;210.02;164,47;2.358.103;1999;11.228
Campodoro;643.895;Campodoro;831.164;392,99;88.54;304,44;187.269;1999;2.115
Camposampiero;1.868.570;Camposampiero;4.521.320;437,56;256.73;180,84;2.652.750;1999;10.333
Campo San Martino;653.501;Campo San Martino;1.426.875;269,12;145.86;123,26;773.374;1999;5.302
Candiana;235.570;Candiana;538.983;223,46;125.79;97,67;303.413;1999;2.412
Carceri;449.820;Carceri;496.040;328,5;30.61;297,89;46.220;1999;1.510
Carmignano di Brenta;980.197;Carmignano di Brenta;2.118.955;303,36;163.03;140,33;1.138.758;1999;6.985
Cartura;879.670;Cartura;1.357.248;328,15;115.47;212,69;477.578;1999;4.136
Casale di Scodosia;1.678.210;Casale di Scodosia;1.737.910;358,55;12.32;346,24;59.700;1999;4.847
Casalserugo;1.317.770;Casalserugo;1.615.761;297,4;54.85;242,55;297.991;1999;5.433
Castelbaldo;608.960;Castelbaldo;632.560;369,05;13.77;355,29;23.600;1999;1.714
Cervarese Santa Croce;1.626.600;Cervarese Santa Croce;2.021.650;437,49;85.49;352;395.050;1999;4.621
Cinto Euganeo;576.840;Cinto Euganeo;629.210;303,09;25.23;277,86;52.370;1999;2.076
Cittadella;4.659.240;Cittadella;9.109.477;489,63;239.20;250,43;4.450.237;1999;18.605
Codevigo;2.182.970;Codevigo;2.306.726;412,28;22.12;390,16;123.756;1999;5.595
Conselve;1.748.260;Conselve;3.593.889;400,25;205.55;194,71;1.845.629;1999;8.979
Correzzola;648.290;Correzzola;1.349.990;256,65;133.40;123,25;701.700;1999;5.260
Curtarolo;805.037;Curtarolo;1.917.677;307,27;178.28;128,99;1.112.640;1999;6.241
Este;4.423.720;Este;7.845.240;460,64;200.90;259,75;3.421.520;1999;17.031
Fontaniva;905.530;Fontaniva;2.075.034;280,56;158.13;122,44;1.169.504;1999;7.396
Galliera Veneta;1.077.424;Galliera Veneta;2.740.275;414,38;251.45;162,93;1.662.851;1999;6.613
Galzignano Terme;1.842.480;Galzignano Terme;1.958.320;468,72;27.73;441;115.840;1999;4.178
Gazzo;396.788;Gazzo;890.090;260,64;144.45;116,19;493.302;1999;3.415
Grantorto;452.123;Grantorto;1.127.901;301,01;180.35;120,66;675.778;1999;3.747
Granze;520.440;Granze;521.574;321,96;0.70;321,26;1.134;1999;1.620
Legnaro;1.197.560;Legnaro;2.269.265;327,22;154.54;172,68;1.071.705;1999;6.935
Limena;2.493.170;Limena;4.037.355;614,7;235.11;379,59;1.544.185;1999;6.568
Loreggia;739.797;Loreggia;1.597.308;288,64;154.95;133,68;857.511;1999;5.534
Lozzo Atestino;1.003.000;Lozzo Atestino;1.048.050;340,06;14.62;325,44;45.050;1999;3.082
Masera' di Padova;1.385.330;Maserà di Padova;2.191.970;296,13;108.98;187,16;806.640;1999;7.402
Masi;668.140;Masi;703.440;391,45;19.64;371,81;35.300;1999;1.797
Massanzago;549.005;Massanzago;1.117.244;250,39;127.35;123,04;568.239;1999;4.462
Megliadino San Fidenzio;636.200;Megliadino San Fidenzio;655.000;353,86;10.16;343,71;18.800;1999;1.851
Megliadino San Vitale;651.820;Megliadino San Vitale;651.820;330,04;0.00;330,04;0;1999;1.975
Merlara;905.640;Merlara;938.540;311,08;10.90;300,18;32.900;1999;3.017
Mestrino;2.695.600;Mestrino;3.547.775;441,49;106.04;335,44;852.175;1999;8.036
Monselice;6.893.120;Monselice;9.082.510;519,71;125.28;394,43;2.189.390;1999;17.476
Montagnana;3.396.900;Montagnana;4.173.610;442,35;82.32;360,03;776.710;1999;9.435
Montegrotto Terme;6.432.820;Montegrotto Terme;8.170.250;783,42;166.60;616,82;1.737.430;1999;10.429
Noventa Padovana;3.185.570;Noventa Padovana;4.425.040;545,9;152.91;392,99;1.239.470;1999;8.106
Ospedaletto Euganeo;1.781.100;Ospedaletto Euganeo;1.974.386;372,6;36.48;336,12;193.286;1999;5.299
Padova;114.146.730;Padova;134.096.193;634,35;94.37;539,98;19.949.463;1999;211.391
Pernumia;447.840;Pernumia;1.012.816;270,44;150.86;119,58;564.976;1999;3.745
Piacenza d'Adige;543.670;Piacenza d'Adige;582.470;393,3;26.20;367,1;38.800;1999;1.481
Piazzola sul Brenta;1.674.929;Piazzola sul Brenta;3.576.172;335,63;178.44;157,2;1.901.243;1999;10.655
Piombino Dese;1.155.572;Piombino Dese;2.477.217;293,27;156.46;136,8;1.321.645;1999;8.447
Piove di Sacco;7.222.570;Piove di Sacco;8.745.515;506,22;88.15;418,07;1.522.945;1999;17.276
Polverara;875.370;Polverara;926.517;399,71;22.07;377,64;51.147;1999;2.318
Ponso;847.940;Ponso;909.550;396,84;26.88;369,96;61.610;1999;2.292
Pontelongo;1.319.640;Pontelongo;1.623.392;428,11;80.10;348,01;303.752;1999;3.792
Ponte San Nicolo';4.129.602;Ponte San Nicolò;5.231.134;443,58;93.41;350,17;1.101.532;1999;11.793
Pozzonovo;343.210;Pozzonovo;947.780;269,26;171.75;97,5;604.570;1999;3.520
Rovolon;1.513.000;Rovolon;1.557.171;385,82;10.94;374,88;44.171;1999;4.036
Rubano;5.020.690;Rubano;5.840.166;442,64;62.11;380,53;819.476;1999;13.194
Saccolongo;1.439.790;Saccolongo;1.613.092;362,17;38.91;323,26;173.302;1999;4.454
Saletto;892.460;Saletto;924.480;367;12.71;354,29;32.020;1999;2.519
San Giorgio delle Pertiche;1.173.890;San Giorgio delle Pertiche;2.442.644;320,43;166.44;153,99;1.268.754;1999;7.623
San Giorgio in Bosco;783.277;San Giorgio in Bosco;1.471.286;255,03;119.26;135,77;688.009;1999;5.769
San Martino di Lupari;1.943.260;San Martino di Lupari;4.935.388;435,14;263.81;171,33;2.992.128;1999;11.342
San Pietro in Gu;502.050;San Pietro in Gu;1.311.893;303,61;187.42;116,19;809.843;1999;4.321
San Pietro Viminario;302.120;San Pietro Viminario;704.340;288,78;164.91;123,87;402.220;1999;2.439
Santa Giustina in Colle;581.760;Santa Giustina in Colle;1.171.538;186,52;93.90;92,62;589.778;1999;6.281
Santa Margherita d'Adige;689.110;Santa Margherita d'Adige;715.010;320,06;11.59;308,46;25.900;1999;2.234
Sant'Angelo di Piove di Sacco;2.201.360;Sant'Angelo di Piove di Sacco;2.804.334;443,79;95.42;348,37;602.974;1999;6.319
Sant'Elena;713.580;Sant'Elena;804.200;464,86;52.38;412,47;90.620;1999;1.730
Sant'Urbano;723.660;Sant'Urbano;767.760;337,03;19.36;317,67;44.100;1999;2.278
Saonara;3.229.840;Saonara;3.771.787;432,69;62.17;370,52;541.947;1999;8.717
Selvazzano Dentro;8.210.870;Selvazzano Dentro;10.166.500;524,67;100.93;423,74;1.955.630;1999;19.377
Solesino;3.658.920;Solesino;4.033.460;570,75;53.00;517,75;374.540;1999;7.067
Stanghella;2.120.580;Stanghella;2.175.030;484,2;12.12;472,08;54.450;1999;4.492
Teolo;3.625.520;Teolo;4.275.890;518,73;78.90;439,83;650.370;1999;8.243
Terrassa Padovana;770.210;Terrassa Padovana;837.267;402,15;32.21;369,94;67.057;1999;2.082
Tombolo;1.222.460;Tombolo;2.527.683;363,7;187.80;175,89;1.305.223;1999;6.950
Torreglia;2.111.700;Torreglia;2.420.260;415,92;53.03;362,9;308.560;1999;5.819
Trebaseleghe;2.296.250;Trebaseleghe;4.255.721;398,21;183.35;214,86;1.959.471;1999;10.687
Tribano;439.900;Tribano;1.108.070;274,82;165.72;109,1;668.170;1999;4.032
Urbana;711.880;Urbana;740.580;330,62;12.81;317,8;28.700;1999;2.240
Veggiano;953.230;Veggiano;1.041.120;370,64;31.29;339,35;87.890;1999;2.809
Vescovana;449.840;Vescovana;529.507;330,32;49.70;280,62;79.667;1999;1.603
Vighizzolo d'Este;266.840;Vighizzolo d'Este;308.010;323,54;43.25;280,29;41.170;1999;952.000
Vigodarzere;1.446.170;Vigodarzere;3.399.440;297,49;170.93;126,56;1.953.270;1999;11.427
Vigonza;4.840.000;Vigonza;8.189.752;429,41;175.64;253,78;3.349.752;1999;19.072
Villa del Conte;710.528;Villa del Conte;1.466.697;291,47;150.27;141,2;756.169;1999;5.032
Villa Estense;941.200;Villa Estense;955.413;398,09;5.92;392,17;14.213;1999;2.400
Villafranca Padovana;2.287.670;Villafranca Padovana;2.849.930;362,91;71.60;291,31;562.260;1999;7.853
Villanova di Camposampiero;556.080;Villanova di Camposampiero;1.098.708;233,57;115.35;118,21;542.628;1999;4.704
Vo;1.325.777;Vo;1.396.169;405,27;20.43;384,84;70.392;1999;3.445
Due Carrare;1.373.040;Due Carrare;2.581.079;329,14;154.05;175,09;1.208.039;1999;7.842
Adria;10.460.641;Adria;11.073.828;536,18;29.69;506,49;613.187;1999;20.653
Ariano nel Polesine;2.123.260;Ariano nel Polesine;2.250.160;456,79;25.76;431,03;126.900;1999;4.926
Arqua' Polesine;1.238.110;Arquà Polesine;1.262.461;432,94;8.35;424,59;24.351;1999;2.916
Badia Polesine;5.131.960;Badia Polesine;5.600.744;535,29;44.80;490,49;468.784;1999;10.463
Bagnolo di Po;484.180;Bagnolo di Po;527.551;372,3;30.61;341,69;43.371;1999;1.417
Bergantino;1.418.960;Bergantino;1.914.839;724,22;187.55;536,67;495.879;1999;2.644
Bosaro;500.070;Bosaro;556.557;436,52;44.30;392,21;56.487;1999;1.275
Calto;409.430;Calto;428.680;484,93;21.78;463,16;19.250;1999;884.000
Canaro;1.232.440;Canaro;1.287.730;455,03;19.54;435,49;55.290;1999;2.830
Canda;373.530;Canda;394.419;401,65;21.27;380,38;20.889;1999;982.000
Castelguglielmo;969.040;Castelguglielmo;1.011.770;557,14;23.53;533,61;42.730;1999;1.816
Castelmassa;1.966.520;Castelmassa;2.293.050;526,17;74.93;451,24;326.530;1999;4.358
Castelnovo Bariano;1.352.270;Castelnovo Bariano;1.395.248;448,49;13.81;434,67;42.978;1999;3.111
Ceneselli;724.590;Ceneselli;861.950;461,18;73.49;387,69;137.360;1999;1.869
Ceregnano;1.643.520;Ceregnano;1.723.620;433,4;20.14;413,26;80.100;1999;3.977
Corbola;1.018.420;Corbola;1.074.420;404,22;21.07;383,15;56.000;1999;2.658
Costa di Rovigo;424.930;Costa di Rovigo;884.727;297,69;154.71;142,98;459.797;1999;2.972
Crespino;800.740;Crespino;871.338;409,85;33.21;376,64;70.598;1999;2.126
Ficarolo;853.450;Ficarolo;1.050.301;371,79;69.68;302,11;196.851;1999;2.825
Fiesso Umbertiano;1.522.780;Fiesso Umbertiano;1.887.698;455,42;88.04;367,38;364.918;1999;4.145
Frassinelle Polesine;555.910;Frassinelle Polesine;604.590;365,53;29.43;336,1;48.680;1999;1.654
Fratta Polesine;1.134.910;Fratta Polesine;1.326.714;474,17;68.55;405,61;191.804;1999;2.798
Gaiba;485.840;Gaiba;564.110;493,1;68.42;424,69;78.270;1999;1.144
Gavello;237.570;Gavello;434.178;265,07;120.03;145,04;196.608;1999;1.638
Giacciano Con Baruchella;933.080;Giacciano con Baruchella;980.380;425,88;20.55;405,33;47.300;1999;2.302
Guarda Veneta;443.240;Guarda Veneta;461.910;407,33;16.46;390,86;18.670;1999;1.134
Lendinara;5.519.040;Lendinara;5.869.310;483,19;28.84;454,35;350.270;1999;12.147
Loreo;1.525.830;Loreo;1.589.300;420,56;16.80;403,77;63.470;1999;3.779
Lusia;1.484.490;Lusia;1.548.993;427,66;17.81;409,85;64.503;1999;3.622
Melara;971.580;Melara;1.051.530;531,61;40.42;491,19;79.950;1999;1.978
Occhiobello;5.409.480;Occhiobello;5.727.798;586,5;32.59;553,91;318.318;1999;9.766
Papozze;754.260;Papozze;798.071;448,86;24.64;424,22;43.811;1999;1.778
Pettorazza Grimani;584.560;Pettorazza Grimani;612.130;362,85;16.34;346,51;27.570;1999;1.687
Pincara;493.890;Pincara;521.960;403,68;21.71;381,97;28.070;1999;1.293
Polesella;1.600.860;Polesella;1.866.890;469,54;66.91;402,63;266.030;1999;3.976
Pontecchio Polesine;467.860;Pontecchio Polesine;583.948;394,29;78.38;315,91;116.088;1999;1.481
Porto Tolle;6.209.680;Porto Tolle;6.402.020;595,04;17.88;577,16;192.340;1999;10.759
Rosolina;6.785.410;Rosolina;7.046.000;1.155,08;42.72;1.112,36;260.590;1999;6.100
Rovigo;24.546.390;Rovigo;29.891.040;590,42;105.57;484,85;5.344.650;1999;50.627
Salara;501.420;Salara;538.733;421,54;29.20;392,35;37.313;1999;1.278
San Bellino;522.180;San Bellino;563.624;461,99;33.97;428,02;41.444;1999;1.220
San Martino di Venezze;1.717.860;San Martino di Venezze;1.849.371;476,64;33.89;442,75;131.511;1999;3.880
Stienta;1.449.870;Stienta;1.667.764;557,97;72.90;485,07;217.894;1999;2.989
Taglio di Po;3.492.650;Taglio di Po;3.603.720;430,24;13.26;416,98;111.070;1999;8.376
Trecenta;1.288.130;Trecenta;1.400.244;441,44;35.34;406,09;112.114;1999;3.172
Villadose;2.028.020;Villadose;2.325.679;444,26;56.86;387,4;297.659;1999;5.235
Villamarzana;444.890;Villamarzana;464.490;383,56;16.18;367,37;19.600;1999;1.211
Villanova del Ghebbo;1.031.120;Villanova del Ghebbo;1.098.830;489,89;30.19;459,71;67.710;1999;2.243
Villanova Marchesana;377.730;Villanova Marchesana;436.150;411,46;55.11;356,35;58.420;1999;1.060
Porto Viro;7.060.070;Porto Viro;7.317.440;510,07;17.94;492,13;257.370;1999;14.346
Affi;807.940;Affi;1.332.626;703,23;276.88;426,35;524.686;2000;1.895
Albaredo d'Adige;632.030;Albaredo d'Adige;1.317.462;261,14;135.86;125,28;685.432;2000;5.045
Angiari;643.110;Angiari;777.592;425,84;73.65;352,2;134.482;2000;1.826
Arcole;1.680.000;Arcole;1.997.305;383,95;61.00;322,95;317.305;2000;5.202
Badia Calavena;587.940;Badia Calavena;756.210;316,54;70.44;246,1;168.270;2000;2.389
Bardolino;4.062.000;Bardolino;5.756.160;908,92;267.51;641,4;1.694.160;2000;6.333
Belfiore;479.391;Belfiore;876.771;329,61;149.39;180,22;397.380;2000;2.660
Bevilacqua;629.880;Bevilacqua;718.293;432,71;53.26;379,45;88.413;2000;1.660
Bonavigo;624.350;Bonavigo;784.575;422,5;86.28;336,21;160.225;2000;1.857
Boschi Sant'Anna;528.040;Boschi Sant'Anna;551.975;411;17.82;393,18;23.935;2000;1.343
Bosco Chiesanuova;1.600.000;Bosco Chiesanuova;1.734.760;549,84;42.71;507,13;134.760;2000;3.155
